Playlist Name,Description,Last Modified,Can Edit
"Pop, Dance Pop",,2025-08-09T20:24:32Z,true
"Pop, Electropop","Electropop is pop music built primarily from synthesizers, drum machines, and digital production, keeping classic pop structures (verse–chorus, big hooks) at the center. The sound is clean, punchy, and vocal-forward; guitars, if used, are secondary or textural. It differs from synthpop by favoring contemporary production over 1980s retro stylings, and from dance-pop/EDM by avoiding big house/techno drops and DJ-style builds. Compared with electroclash or indietronica, it’s less gritty or indie-band-oriented. Typical traits: mid-to-upbeat tempos, tight programmed rhythms, prominent synth-bass, and memorable toplines.",2025-08-10T12:28:25Z,true
"Pop, Hyper Pop","Hyperpop is a maximalist, internet-native strain of pop that pushes melodies and emotion to extremes: blown-out, heavily compressed production; bright synthetic timbres; pitch-shifted/Auto-Tuned vocals; glitchy jump-cuts; and candy-sweet hooks delivered with playful, often ironic self-awareness. It embraces collage and speed while staying fundamentally pop—short forms, big choruses, hook-first songwriting.",2025-08-26T09:52:21Z,true
"Pop, Soft Rock",,2025-08-09T12:34:57Z,true
"Progressive, Krautrock",,2025-07-02T05:40:36Z,true
"Progressive, Modern Prog Rock","Modern Prog Rock is a contemporary evolution of progressive rock that blends complex song structures and technical musicianship with modern production, diverse influences, and emotional depth.",2025-06-29T11:45:02Z,true
"Progressive, Neo Prog",,2025-08-14T07:47:06Z,true
"Progressive, Symphonic Prog","Symphonic Prog is a lush, classical-influenced style of progressive rock that features orchestral arrangements, extended compositions, and rich keyboard-driven textures—often aiming for grandeur and complexity.",2025-08-09T10:44:21Z,true
"Punk, Classic Punk",,2025-06-30T08:17:03Z,true
"Punk, Pop Punk",,2025-06-30T08:08:01Z,true
Rage,,2025-08-21T06:01:26Z,true
"Rock, Arena Rock",,2025-08-14T07:47:56Z,true
"Rock, Avant-Garde Rock",,2025-07-11T09:34:10Z,true
"Rock, Classic Rock",,2025-08-22T07:11:39Z,true
"Rock, Hard Rock",,2025-06-30T12:35:32Z,true
Rush,,2025-08-21T10:55:44Z,true
shuffle,,2025-08-14T07:48:27Z,true
singles,,2025-07-06T07:52:59Z,true
"Synthpop, Classic Synthpop",,2025-06-30T06:40:31Z,true
"Synthpop, Dark Synthpop",,2025-07-06T15:17:47Z,true
"Techno, Ambient Techno","Ambient Techno is a fusion of ambient music and techno, combining steady rhythmic patterns with ethereal soundscapes, soft textures, and a dreamy, meditative atmosphere.",2025-06-30T06:16:16Z,true
"Techno, Deep Techno","Deep Techno is a moody and immersive style of techno characterized by subtle grooves, rich textures, and a focus on atmosphere over intensity—often slow-building and introspective.",2025-06-26T11:57:37Z,true
"Techno, Dub Techno","Dub Techno is a deep and atmospheric style of techno that fuses the rhythmic structure of techno with the echo, reverb, and spaciousness of dub reggae—creating a hypnotic and immersive sound.",2025-07-06T15:26:52Z,true
"Techno, Experimental Techno","Experimental Techno is a boundary-pushing form of techno that explores unconventional structures, sound design, and textures—often blending elements from noise, ambient, and avant-garde music.",2025-06-26T10:13:23Z,true
"Techno, Industrial Techno","Industrial Techno is a harsh, aggressive style of techno that incorporates distorted sounds, mechanical textures, and heavy, pounding rhythms—drawing influence from industrial music and noise.",2025-06-29T11:56:29Z,true
"Techno, Melodic Techno","Melodic Techno is a style of techno that blends deep, driving rhythms with emotive melodies, atmospheric pads, and harmonic progressions—often creating a cinematic or introspective feel.",2025-06-26T10:12:45Z,true
"Techno, Minimal Techno","Minimal Techno is a stripped-down form of techno that emphasizes repetition, subtle changes, and sparse, clean production—focusing on rhythm and texture over melody.",2025-06-26T10:12:27Z,true
"Techno, Peak Time",,2025-07-01T21:44:28Z,true
"Techno, Progressive Techno","Progressive Techno is a hypnotic and evolving style of techno focused on gradual build-ups, layered textures, and a deep, driving groove, often with a dark or atmospheric edge.",2025-06-26T10:12:09Z,true
"Trance, Classic Trance","Classic Trance is an uplifting and melodic form of trance music from the 1990s and early 2000s, known for its emotional chord progressions, soaring synths, and long, euphoric breakdowns.",2025-06-27T07:11:31Z,true
UFO,,2025-02-18T17:22:46Z,true
